host_response_rate,host_acceptance_rate,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,rating
93,87,49.28872,-123.12046,5,2.0,2.0,150.0,90,16,93.0
100,57,49.28201,-123.12669,2,1.0,1.0,85.0,30,430,93.0
100,78,49.25622,-123.06607,2,1.0,1.0,145.0,30,88,98.0
100,0,49.26557,-123.096,2,1.0,1.0,51.0,30,118,91.0
100,100,49.27569,-123.07057,2,1.0,1.0,79.0,1,390,100.0
90,40,49.28299,-123.13008,2,1.0,1.0,50.0,30,121,91.0
100,67,49.26018,-123.13477,2,1.0,1.0,128.0,30,37,94.0
100,100,49.25636,-123.08636,3,2.0,2.0,69.0,30,74,96.0
100,100,49.23361,-123.05283,1,1.0,1.0,43.0,2,331,94.0
100,100,49.23442,-123.05307,2,1.0,1.0,90.0,28,214,95.0
100,75,49.26216,-123.1715,6,2.0,3.0,200.0,30,16,100.0
100,100,49.28086,-123.12375,4,1.0,2.0,159.0,30,35,95.0
100,100,49.2792,-123.105,3,1.0,2.0,100.0,30,80,87.0
100,92,49.24677,-123.1048,4,1.0,2.0,110.0,4,52,99.0
100,73,49.27743,-123.11869,4,2.0,2.0,132.0,30,76,94.0
100,76,49.2729,-123.06973,2,1.0,1.0,75.0,2,419,94.0
100,100,49.28036,-123.1234,3,1.0,2.0,159.0,30,29,95.0
100,100,49.27591,-123.12359,3,1.0,1.0,121.0,30,14,94.0
100,100,49.2452,-123.16544,3,1.0,2.0,100.0,2,641,96.0
100,0,49.26758,-123.06016,3,2.0,2.0,125.0,3,103,93.0
100,100,49.24615,-123.09462,3,1.0,0.0,85.0,2,496,94.0
89,100,49.24356,-123.04757,2,1.0,1.0,40.0,30,41,92.0
100,71,49.26382,-123.10484,2,1.0,2.0,95.0,6,115,96.0
100,100,49.25757,-123.18966,6,3.0,3.0,150.0,4,153,97.0
100,0,49.27857,-123.0899,2,1.0,2.0,90.0,30,116,96.0
100,80,49.25808,-123.16824,4,1.0,1.0,131.0,30,57,98.0
100,100,49.2719,-123.15043,4,2.0,2.0,135.0,3,201,92.0
50,67,49.27955,-123.11857,4,1.0,2.0,102.0,30,10,91.0
100,75,49.26293,-123.17143,7,2.0,4.0,250.0,2,11,100.0
0,100,49.27839,-123.12852,4,1.0,2.0,99.0,120,52,96.0
93,87,49.28906,-123.12505,6,3.0,3.0,197.0,90,2,100.0
100,0,49.27608,-123.12452,2,1.0,0.0,175.0,30,142,98.0
100,0,49.27799,-123.07101,1,1.0,1.0,48.0,30,57,94.0
100,100,49.2332,-123.0551,1,1.0,1.0,80.0,1,209,94.0
90,94,49.28211,-123.10453,4,2.0,2.0,206.0,3,74,97.0
100,64,49.28379,-123.10525,2,1.0,1.0,137.0,3,51,95.0
100,96,49.28063,-123.12502,2,1.0,1.0,148.0,30,257,98.0
95,50,49.28241,-123.10381,3,1.0,1.0,347.0,1,137,97.0
72,32,49.28052,-123.12691,4,2.0,2.0,344.0,1,1,80.0
100,100,49.28062,-123.11815,4,1.0,3.0,124.0,31,157,98.0
99,85,49.27741,-123.12292,4,1.0,1.0,299.0,30,3,100.0
90,8,49.25555,-123.11523,4,2.0,2.0,90.0,2,31,93.0
100,56,49.25759,-123.06393,6,3.0,3.0,425.0,1,33,97.0
100,60,49.27917,-123.06246,2,1.0,1.0,80.0,30,187,98.0
100,100,49.29178,-123.14175,4,2.0,3.0,130.0,30,59,95.0
100,50,49.27945,-123.10875,2,1.0,1.0,97.0,3,157,96.0
100,78,49.28104,-123.13621,2,1.0,1.0,135.0,30,76,95.0
50,67,49.284,-123.11571,3,1.0,1.0,141.0,30,4,85.0
100,100,49.25996,-123.16653,4,2.0,2.0,125.0,2,78,97.0
100,55,49.24438,-123.04453,2,1.0,1.0,51.0,5,179,95.0
99,85,49.27918,-123.12187,6,2.0,3.0,350.0,30,7,91.0
100,92,49.26186,-123.17438,2,1.0,1.0,66.0,30,48,96.0
100,92,49.26355,-123.17326,2,1.0,1.0,47.0,14,62,98.0
100,92,49.26213,-123.17482,3,2.0,3.0,114.0,30,3,100.0
100,50,49.25804,-123.12119,2,1.0,1.0,75.0,30,22,91.0
100,100,49.28618,-123.05403,2,1.0,1.0,84.0,31,63,93.0
100,100,49.25785,-123.12199,2,1.0,1.0,79.0,6,51,90.0
100,0,49.24803,-123.18517,2,1.0,1.0,130.0,3,193,99.0
62,73,49.27213,-123.0698,3,1.0,1.0,100.0,3,148,90.0
85,78,49.26648,-123.15939,2,1.0,1.0,55.0,4,5,100.0
93,36,49.28837,-123.12766,4,2.0,2.0,88.0,30,12,92.0
100,97,49.25674,-123.0874,2,1.0,1.0,70.0,2,271,96.0
100,100,49.27241,-123.06332,2,1.0,1.0,95.0,2,56,96.0
100,89,49.28028,-123.10737,8,3.0,4.0,278.0,29,285,94.0
93,36,49.29258,-123.13446,2,1.0,1.0,55.0,30,11,89.0
90,40,49.28239,-123.13021,2,1.0,1.0,50.0,30,58,91.0
100,100,49.2726,-123.06988,2,1.0,1.0,50.0,30,73,94.0
100,100,49.26957,-123.04828,2,1.0,1.0,72.0,2,37,98.0
100,100,49.26731,-123.06909,4,2.0,2.0,149.0,3,193,97.0
90,40,49.27871,-123.11681,2,1.0,1.0,80.0,180,49,96.0
100,88,49.28478,-123.1192,4,1.0,2.0,120.0,2,432,97.0
93,36,49.27859,-123.11993,2,1.0,1.0,80.0,90,7,97.0
90,40,49.28247,-123.13068,2,1.0,1.0,50.0,30,64,89.0
88,96,49.284,-123.11432,2,1.0,1.0,97.0,30,111,95.0
100,86,49.27932,-123.12911,2,1.0,1.0,106.0,3,104,98.0
100,100,49.26026,-123.20135,3,1.0,2.0,94.0,1,69,95.0
100,100,49.23968,-123.16762,3,1.0,2.0,104.0,31,86,98.0
100,100,49.26964,-123.11064,6,2.0,4.0,450.0,30,8,98.0
100,78,49.26732,-123.06827,6,3.0,3.0,399.0,7,42,97.0
100,98,49.26618,-123.09694,4,2.0,2.0,150.0,2,129,96.0
100,33,49.28164,-123.11006,2,1.0,1.0,79.0,30,14,85.0
93,36,49.29014,-123.12716,2,1.0,1.0,98.0,90,5,96.0
100,79,49.24882,-123.09121,2,1.0,0.0,64.0,3,255,94.0
100,75,49.27383,-123.15362,5,2.0,3.0,450.0,5,73,98.0
100,93,49.25259,-123.09292,4,2.0,2.0,88.0,1,239,93.0
100,92,49.25225,-123.10756,2,1.0,1.0,75.0,30,131,96.0
100,100,49.28167,-123.10984,3,2.0,2.0,250.0,90,4,100.0
0,75,49.22757,-123.10926,3,1.0,1.0,79.0,1,254,85.0
100,75,49.24778,-123.09867,4,2.0,2.0,140.0,2,260,98.0
100,95,49.2585,-123.11479,5,3.0,3.0,285.0,2,35,98.0
90,81,49.27866,-123.08627,2,1.0,1.0,125.0,2,242,98.0
93,36,49.28216,-123.12438,2,1.0,1.0,85.0,30,3,93.0
100,100,49.27774,-123.06582,2,1.0,2.0,95.0,2,207,95.0
90,100,49.28954,-123.13711,4,2.0,2.0,187.0,30,50,97.0
100,83,49.27022,-123.06067,4,3.0,3.0,116.0,30,7,97.0
100,89,49.28474,-123.10712,2,1.0,0.0,139.0,180,100,95.0
100,100,49.22651,-123.14179,4,1.0,2.0,129.0,2,106,95.0
100,100,49.26278,-123.16448,4,2.0,4.0,110.0,2,258,92.0
100,100,49.26263,-123.11627,2,1.0,1.0,120.0,120,3,100.0
50,0,49.28519,-123.09872,2,1.0,1.0,160.0,30,53,97.0
100,100,49.26411,-123.06803,6,3.0,3.0,189.0,30,49,93.0
100,100,49.2753,-123.14721,4,2.0,2.0,175.0,30,240,99.0
100,100,49.28005,-123.11659,3,1.0,2.0,110.0,30,128,98.0
88,96,49.27393,-123.11599,4,1.0,2.0,110.0,30,90,90.0
93,93,49.24976,-123.03547,1,1.0,1.0,75.0,31,40,97.0
100,70,49.2655,-123.0969,2,1.0,1.0,112.0,30,33,94.0
93,93,49.24958,-123.0359,1,1.0,1.0,65.0,31,22,96.0
75,75,49.26933,-123.16177,2,1.0,1.0,58.0,31,7,97.0
100,100,49.28514,-123.12275,6,2.0,4.0,300.0,30,36,97.0
100,0,49.2773,-123.12294,3,2.0,2.0,115.0,180,142,99.0
100,100,49.26992,-123.18596,4,2.0,3.0,85.0,28,51,99.0
100,89,49.22718,-123.0552,1,1.0,1.0,50.0,30,19,91.0
100,88,49.27955,-123.12392,4,1.0,2.0,81.0,30,95,87.0
100,85,49.239,-123.08606,5,2.0,3.0,90.0,30,124,93.0
100,95,49.25701,-123.09179,4,2.0,4.0,82.0,2,254,98.0
100,100,49.25877,-123.08299,2,1.0,1.0,75.0,30,47,99.0
100,50,49.25865,-123.12294,2,1.0,1.0,65.0,30,5,95.0
100,100,49.25222,-123.1186,2,1.0,2.0,112.0,2,533,98.0
90,96,49.2883,-123.04216,2,1.0,1.0,45.0,1,63,91.0
100,100,49.28044,-123.12496,4,1.0,1.0,151.0,1,205,96.0
93,36,49.28169,-123.12628,4,2.0,2.0,74.0,30,16,89.0
100,63,49.27512,-123.15131,4,2.0,2.0,493.0,30,90,99.0
100,89,49.22505,-123.05439,1,1.0,1.0,50.0,30,6,68.0
90,97,49.26872,-123.15201,2,1.0,1.0,70.0,3,227,97.0
100,100,49.26536,-123.09943,2,1.0,1.0,250.0,3,69,99.0
100,97,49.25819,-123.19988,2,1.0,1.0,129.0,3,178,98.0
88,96,49.27795,-123.11734,2,1.0,1.0,104.0,30,94,93.0
90,78,49.29314,-123.13535,1,1.0,1.0,61.0,2,342,95.0
93,36,49.28884,-123.13288,4,2.0,3.0,72.0,30,3,100.0
93,36,49.28748,-123.1289,2,1.0,1.0,88.0,30,4,100.0
93,36,49.28814,-123.12629,2,1.0,1.0,88.0,30,2,100.0
100,100,49.26229,-123.20888,4,2.0,0.0,150.0,6,84,96.0
93,87,49.28363,-123.11777,4,1.0,1.0,97.0,90,12,90.0
93,36,49.27511,-123.12679,2,1.0,1.0,98.0,31,5,100.0
90,93,49.26731,-123.09774,2,1.0,1.0,149.0,3,78,96.0
100,33,49.24187,-123.03668,2,1.0,1.0,40.0,30,38,93.0
96,84,49.2785,-123.05217,2,1.0,1.0,75.0,2,139,96.0
80,14,49.2839,-123.10111,4,2.0,2.0,289.0,3,28,94.0
100,80,49.27914,-123.12016,4,2.0,2.0,300.0,30,19,99.0
100,33,49.24348,-123.03844,2,1.0,1.0,35.0,7,45,92.0
100,100,49.2498,-123.10378,2,1.0,1.0,100.0,30,42,97.0
93,36,49.28875,-123.12417,2,1.0,1.0,79.0,30,3,100.0
93,36,49.27865,-123.13613,2,1.0,1.0,65.0,30,9,93.0
93,36,49.27515,-123.11625,2,1.0,1.0,83.0,30,4,90.0
93,36,49.28488,-123.11244,2,1.0,1.0,83.0,30,10,93.0
99,85,49.27899,-123.12156,6,2.0,3.0,499.0,30,2,80.0
100,100,49.26488,-123.15529,4,2.0,2.0,222.0,2,76,90.0
93,87,49.27642,-123.12746,5,2.0,2.0,115.0,90,4,100.0
100,100,49.28374,-123.12267,2,1.0,0.0,95.0,30,92,93.0
70,100,49.26867,-123.16656,6,3.0,3.0,299.0,1,35,96.0
89,100,49.24559,-123.04974,2,1.0,1.0,40.0,30,22,89.0
73,25,49.26665,-123.06936,5,2.0,2.0,199.0,1,62,92.0
100,100,49.26469,-123.14817,4,1.0,0.0,149.0,2,53,91.0
100,100,49.25782,-123.20131,3,1.0,1.0,102.0,2,62,94.0
100,99,49.27198,-123.0681,2,1.0,1.0,90.0,1,506,98.0
89,100,49.24389,-123.0485,3,1.0,2.0,61.0,30,18,82.0
93,36,49.28709,-123.12764,5,3.0,4.0,119.0,32,4,100.0
100,100,49.27166,-123.06616,4,1.0,2.0,110.0,3,224,94.0
0,0,49.27252,-123.15201,1,1.0,1.0,100.0,30,28,91.0
100,46,49.26013,-123.1891,6,2.0,4.0,200.0,2,148,93.0
100,100,49.2493,-123.10796,6,3.0,4.0,131.0,3,72,95.0
93,36,49.28873,-123.12582,2,1.0,1.0,71.0,31,1,100.0
100,91,49.26037,-123.10503,1,1.0,1.0,75.0,3,334,99.0
100,75,49.28254,-123.1064,2,1.0,1.0,116.0,30,22,98.0
100,100,49.26554,-123.14631,6,3.0,0.0,202.0,2,41,96.0
100,100,49.27607,-123.03497,2,1.0,1.0,40.0,30,17,89.0
100,83,49.25972,-123.08497,4,1.0,2.0,90.0,30,101,98.0
100,88,49.25886,-123.10898,4,2.0,3.0,208.0,2,160,99.0
100,88,49.25869,-123.10753,2,1.0,1.0,199.0,2,36,100.0
90,100,49.27288,-123.06959,5,1.0,1.0,115.0,5,80,95.0
93,87,49.27949,-123.10711,5,2.0,2.0,148.0,30,16,89.0
100,100,49.27585,-123.06803,2,1.0,0.0,137.0,3,76,98.0
100,89,49.26513,-123.16761,2,1.0,1.0,63.0,3,150,97.0
100,95,49.28109,-123.10671,3,1.0,2.0,168.0,30,257,98.0
100,63,49.2669,-123.16656,4,2.0,2.0,140.0,3,341,97.0
100,97,49.27334,-123.12764,2,1.0,1.0,69.0,2,130,99.0
100,99,49.23695,-123.03251,2,1.0,1.0,43.0,4,237,96.0
100,100,49.27351,-123.15035,2,1.0,1.0,160.0,2,18,98.0
93,87,49.27294,-123.12493,5,2.0,3.0,108.0,30,9,94.0
67,0,49.26595,-123.12975,1,1.0,2.0,50.0,30,30,94.0
100,89,49.26137,-123.16982,4,2.0,2.0,140.0,30,101,97.0
100,67,49.27674,-123.13275,6,3.0,3.0,300.0,1,203,94.0
100,60,49.28318,-123.11256,1,1.0,1.0,39.0,90,37,93.0
100,50,49.25797,-123.10577,2,1.0,1.0,95.0,7,196,98.0
100,100,49.26424,-123.20055,6,2.0,4.0,156.0,1,170,95.0
100,100,49.27186,-123.10121,2,1.0,1.0,135.0,30,72,98.0
93,87,49.27762,-123.08519,6,3.0,3.0,108.0,30,4,80.0
100,33,49.2346,-123.02652,2,1.0,1.0,100.0,35,14,100.0
100,75,49.28901,-123.12785,2,1.0,1.0,85.0,90,14,97.0
100,20,49.26329,-123.18427,8,3.0,3.0,250.0,31,83,98.0
100,71,49.27141,-123.1008,4,2.0,2.0,187.0,30,4,95.0
93,93,49.24808,-123.03588,1,1.0,1.0,65.0,31,5,96.0
93,93,49.24869,-123.03572,1,1.0,1.0,65.0,31,2,90.0
93,93,49.24961,-123.03755,2,2.0,2.0,130.0,31,8,88.0
100,20,49.26149,-123.18459,6,2.0,3.0,275.0,31,30,99.0
100,100,49.27741,-123.12018,2,1.0,1.0,70.0,60,105,99.0
100,100,49.25244,-123.0623,2,1.0,1.0,80.0,30,144,98.0
100,100,49.27147,-123.12661,4,2.0,2.0,325.0,30,16,100.0
100,97,49.26147,-123.08229,2,1.0,1.0,75.0,3,348,99.0
100,100,49.27315,-123.06846,6,3.0,4.0,425.0,3,19,97.0
100,20,49.26616,-123.12985,2,1.0,1.0,80.0,3,92,99.0
100,83,49.27823,-123.12071,2,1.0,1.0,100.0,6,52,93.0
100,60,49.24531,-123.09533,2,1.0,1.0,70.0,29,26,98.0
86,50,49.25965,-123.20512,6,2.0,3.0,282.0,4,105,98.0
100,96,49.27993,-123.1263,2,1.0,2.0,115.0,30,96,99.0
100,100,49.27508,-123.12388,2,1.0,1.0,135.0,90,12,98.0
100,86,49.28045,-123.12457,2,1.0,1.0,155.0,30,18,96.0
100,86,49.28337,-123.11659,2,1.0,0.0,225.0,30,9,96.0
100,80,49.27763,-123.12007,2,1.0,1.0,130.0,30,8,100.0
100,50,49.25872,-123.12185,2,1.0,1.0,75.0,30,6,90.0
100,97,49.28045,-123.10871,3,2.0,2.0,100.0,5,193,89.0
80,64,49.232,-123.07403,2,1.0,1.0,79.0,5,128,95.0
100,100,49.26688,-123.15873,3,1.0,2.0,113.0,2,174,96.0
100,97,49.27841,-123.10815,3,2.0,2.0,95.0,30,2,70.0
100,85,49.2827,-123.1241,3,2.0,2.0,117.0,30,65,98.0
90,40,49.28035,-123.12343,2,1.0,1.0,85.0,30,16,98.0
100,100,49.25853,-123.08005,4,3.0,3.0,130.0,10,10,92.0
100,100,49.24731,-123.08777,2,1.0,1.0,99.0,1,621,98.0
100,100,49.24243,-123.04059,6,3.0,3.0,169.0,2,220,94.0
95,99,49.27105,-123.18246,4,2.0,2.0,120.0,30,79,95.0
100,0,49.2804,-123.10571,2,1.0,1.0,279.0,60,2,90.0
100,60,49.28506,-123.11247,1,1.0,1.0,42.0,90,12,83.0
100,89,49.27549,-123.06406,4,2.0,0.0,185.0,2,189,99.0
100,91,49.26914,-123.05684,2,1.0,1.0,149.0,1,296,96.0
100,100,49.28722,-123.12588,2,1.0,1.0,139.0,360,28,99.0
90,100,49.27152,-123.06947,4,1.0,2.0,125.0,30,72,96.0
93,36,49.28084,-123.12598,2,1.0,1.0,89.0,30,6,100.0
100,88,49.27453,-123.12461,4,2.0,2.0,424.0,30,12,98.0
100,100,49.24347,-123.17806,1,1.0,1.0,70.0,30,187,98.0
100,63,49.28669,-123.06221,4,1.0,2.0,100.0,5,396,94.0
100,0,49.28941,-123.12908,2,1.0,1.0,126.0,30,21,98.0
100,100,49.27675,-123.06537,5,2.0,2.0,135.0,2,283,99.0
100,98,49.24036,-123.18393,8,3.0,4.0,250.0,30,85,100.0
100,88,49.24748,-123.10906,4,2.0,2.0,161.0,3,13,95.0
100,100,49.27702,-123.03282,1,1.0,1.0,30.0,30,18,91.0
100,65,49.26407,-123.03992,2,1.0,1.0,40.0,10,53,94.0
100,100,49.26329,-123.09956,4,1.0,2.0,299.0,3,43,100.0
100,89,49.27729,-123.11603,6,2.0,3.0,249.0,1,29,94.0
100,86,49.26829,-123.11354,4,2.0,2.0,275.0,90,5,100.0
0,0,49.27942,-123.13355,2,1.0,1.0,144.0,30,172,99.0
89,100,49.24373,-123.04979,2,1.0,1.0,68.0,30,11,84.0
100,70,49.26725,-123.15054,1,1.0,0.0,69.0,2,103,95.0
100,100,49.27773,-123.03318,1,1.0,1.0,33.0,30,18,92.0
81,64,49.25472,-123.03387,2,1.0,0.0,26.0,30,57,96.0
100,86,49.26049,-123.17747,3,1.0,1.0,145.0,2,245,99.0
100,100,49.28695,-123.12654,1,1.0,1.0,49.0,30,245,97.0
100,100,49.27183,-123.15549,3,2.0,2.0,210.0,30,20,85.0
85,78,49.2668,-123.15955,2,1.0,1.0,65.0,2,20,100.0
100,100,49.28997,-123.12325,2,1.0,1.0,80.0,30,334,96.0
100,100,49.27853,-123.09265,3,2.0,2.0,113.0,2,230,98.0
100,33,49.26408,-123.12831,2,2.0,2.0,140.0,4,25,97.0
90,100,49.23443,-123.10683,6,2.0,2.0,325.0,30,85,98.0
100,100,49.2539,-123.17975,3,1.0,1.0,155.0,30,18,99.0
100,95,49.28373,-123.13267,2,1.0,1.0,70.0,1,284,98.0
100,100,49.22609,-123.16761,2,1.0,1.0,145.0,2,81,100.0
100,100,49.28122,-123.02748,2,1.0,1.0,120.0,2,86,97.0
100,94,49.25962,-123.16809,2,1.0,1.0,113.0,2,121,98.0
80,64,49.2308,-123.07286,2,1.0,1.0,83.0,30,66,98.0
95,85,49.27832,-123.12194,4,1.0,2.0,151.0,1,303,87.0
100,70,49.2693,-123.15204,1,1.0,1.0,49.0,2,122,96.0
100,20,49.26746,-123.12785,4,2.0,2.0,249.0,5,6,100.0
90,62,49.26514,-123.16635,6,3.0,3.0,395.0,3,36,100.0
100,100,49.27563,-123.08911,6,2.0,2.0,349.0,30,37,98.0
100,70,49.22013,-123.09624,16,5.0,9.0,320.0,1,243,89.0
100,30,49.27842,-123.133,2,1.0,1.0,67.0,30,83,93.0
100,100,49.26686,-123.09706,2,1.0,0.0,195.0,7,19,91.0
100,100,49.2559,-123.18094,3,1.0,3.0,98.0,30,22,95.0
100,100,49.28426,-123.02832,3,1.0,2.0,169.0,2,69,99.0
0,0,49.24679,-123.08347,5,2.0,2.0,105.0,31,59,99.0
100,86,49.2524,-123.10314,10,4.0,6.0,291.0,3,65,97.0
80,79,49.23383,-123.04672,2,1.0,1.0,60.0,30,41,96.0
93,36,49.27777,-123.11919,2,1.0,1.0,79.0,30,4,90.0
100,97,49.28185,-123.10456,2,1.0,1.0,192.0,1,528,99.0
100,94,49.22239,-123.03277,4,1.0,3.0,78.0,1,16,98.0
92,94,49.25979,-123.11194,2,1.0,1.0,65.0,1,299,96.0
100,83,49.21311,-123.11348,1,1.0,1.0,34.0,31,49,93.0
100,100,49.28253,-123.0918,2,1.0,1.0,118.0,1,145,97.0
100,67,49.26443,-123.09925,2,1.0,1.0,85.0,2,23,90.0
100,80,49.26559,-123.14014,4,1.0,1.0,376.0,2,45,96.0
100,50,49.24672,-123.09614,5,3.0,4.0,350.0,7,14,100.0
100,83,49.21306,-123.11307,1,1.0,0.0,34.0,31,60,92.0
100,83,49.21295,-123.11193,2,1.0,1.0,45.0,31,53,96.0
100,83,49.21231,-123.11193,2,1.0,1.0,46.0,31,48,92.0
100,83,49.21121,-123.11208,1,1.0,1.0,37.0,31,31,94.0
100,83,49.21285,-123.11361,6,2.0,3.0,100.0,31,99,96.0
100,95,49.25458,-123.09297,2,1.0,1.0,55.0,2,67,92.0
100,0,49.27783,-123.11536,3,2.0,2.0,170.0,60,3,100.0
100,68,49.25243,-123.0691,1,1.0,1.0,38.0,30,46,99.0
