host_response_rate,host_acceptance_rate,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating
93%,87%,49.28872,-123.12046,5,2.0,2.0,$150.00,90,16,93.0
100%,57%,49.28201,-123.12669,2,1.0,1.0,$85.00,30,430,93.0
100%,78%,49.25622,-123.06607,2,1.0,1.0,$145.00,30,88,98.0
100%,,49.24922,-123.08139,4,1.0,2.0,$140.00,3,33,95.0
,,49.27721,-123.04086,4,2.0,3.0,$195.00,3,5,96.0
0%,,49.26339,-123.07145,6,3.0,4.0,$100.00,30,3,80.0
,,49.25277,-123.03774,8,4.0,5.0,$130.00,4,5,100.0
,,49.26132,-123.10845,2,1.0,1.0,$94.00,3,194,92.0
100%,0%,49.26557,-123.096,2,1.0,1.0,$51.00,30,118,91.0
100%,100%,49.27569,-123.07057,2,1.0,1.0,$79.00,1,390,100.0
100%,0%,49.2733,-123.16457,2,,1.0,$439.00,2,14,82.0
90%,40%,49.28299,-123.13008,2,1.0,1.0,$50.00,30,121,91.0
100%,67%,49.26018,-123.13477,2,1.0,1.0,$128.00,30,37,94.0
100%,100%,49.25636,-123.08636,3,2.0,2.0,$69.00,30,74,96.0
100%,100%,49.23361,-123.05283,1,1.0,1.0,$43.00,2,331,94.0
100%,100%,49.23442,-123.05307,2,1.0,1.0,$90.00,28,214,95.0
,,49.21264,-123.13258,2,1.0,2.0,$150.00,30,24,93.0
100%,75%,49.26216,-123.1715,6,2.0,3.0,$200.00,30,16,100.0
100%,100%,49.28086,-123.12375,4,1.0,2.0,$159.00,30,35,95.0
100%,100%,49.2792,-123.105,3,1.0,2.0,$100.00,30,80,87.0
100%,92%,49.24677,-123.1048,4,1.0,2.0,$110.00,4,52,99.0
100%,73%,49.27743,-123.11869,4,2.0,2.0,$132.00,30,76,94.0
100%,76%,49.2729,-123.06973,2,1.0,1.0,$75.00,2,419,94.0
100%,100%,49.28036,-123.1234,3,1.0,2.0,$159.00,30,29,95.0
100%,,49.23653,-123.02664,2,1.0,1.0,$100.00,60,0,
,,49.26778,-123.14674,2,,1.0,"$1,950.00",31,9,98.0
0%,,49.27462,-123.12426,4,1.0,1.0,$89.00,90,37,97.0
,100%,49.27836,-123.08716,4,2.0,2.0,$200.00,3,22,99.0
,,49.27345,-123.07031,4,2.0,2.0,$210.00,7,12,98.0
100%,100%,49.27591,-123.12359,3,1.0,1.0,$121.00,30,14,94.0
100%,100%,49.2452,-123.16544,3,1.0,2.0,$100.00,2,641,96.0
88%,90%,49.22395,-123.07904,2,,1.0,$150.00,30,474,96.0
,100%,49.27936,-123.12443,2,1.0,1.0,$110.00,30,267,98.0
100%,0%,49.26758,-123.06016,3,2.0,2.0,$125.00,3,103,93.0
100%,100%,49.24615,-123.09462,3,1.0,0.0,$85.00,2,496,94.0
,,49.24401,-123.04772,1,1.0,1.0,$45.00,30,53,90.0
89%,100%,49.24356,-123.04757,2,1.0,1.0,$40.00,30,41,92.0
100%,71%,49.26382,-123.10484,2,1.0,2.0,$95.00,6,115,96.0
100%,100%,49.25757,-123.18966,6,3.0,3.0,$150.00,4,153,97.0
,,49.28034,-123.12648,4,2.0,2.0,$300.00,3,7,97.0
100%,0%,49.27857,-123.0899,2,1.0,2.0,$90.00,30,116,96.0
